posicao_ebt;nota;uf;nome_uf;municipio;populacao;total_pontos;nota_1
1;10;SC;Santa Catarina;Apiúna;10211;3600;10
1;10;SP;São Paulo;São Paulo;11895893;3600;10
3;9.58;PB;Paraíba;Nazarezinho;7330;3450;9.58
4;9.44;SC;Santa Catarina;Correia Pinto;14063;3400;9.44
4;9.44;SC;Santa Catarina;Frei Rogério;2301;3400;9.44
6;9.31;PR;Paraná;Curitiba;1864416;3350;9.31
7;9.17;SC;Santa Catarina;Imbuia;5993;3300;9.17
8;8.89;DF;Distrito Federal;Brasília;2852372;3200;8.89
9;8.75;PE;Pernambuco;Recife;1608488;3150;8.75
10;8.61;CE;Ceará;Fortaleza;2571896;3100;8.61
11;8.47;PB;Paraíba;São José do Sabugi;4114;3050;8.47
11;8.47;PB;Paraíba;João Pessoa;780738;3050;8.47
11;8.47;SC;Santa Catarina;Florianópolis;461524;3050;8.47
14;8.33;PB;Paraíba;Taperoá;15284;3000;8.33
15;8.19;SC;Santa Catarina;Monte Carlo;9650;2950;8.19
15;8.19;SC;Santa Catarina;Bombinhas;16897;2950;8.19
15;8.19;RS;Rio Grande do Sul;São Paulo das Missões;6385;2950;8.19
18;7.92;RS;Rio Grande do Sul;Porto Alegre;1472482;2850;7.92
18;7.92;MG;Minas Gerais;Belo Horizonte;2491109;2850;7.92
20;7.78;GO;Goiás;Goiânia;1412364;2800;7.78
20;7.78;AC;Acre;Rio Branco;363928;2800;7.78
22;7.64;PE;Pernambuco;Sairé;10633;2750;7.64
22;7.64;RN;Rio Grande do Norte;Natal;862044;2750;7.64
22;7.64;RS;Rio Grande do Sul;Camargo;2710;2750;7.64
25;7.36;RS;Rio Grande do Sul;Imigrante;3141;2650;7.36
25;7.36;RS;Rio Grande do Sul;Muitos Capões;3127;2650;7.36
25;7.36;RS;Rio Grande do Sul;Tio Hugo;2893;2650;7.36
28;6.94;SC;Santa Catarina;Vargeão;3590;2500;6.94
29;6.81;MS;Mato Grosso do Sul;Campo Grande;843120;2450;6.81
30;6.67;BA;Bahia;Salvador;2902927;2400;6.67
31;6.25;RS;Rio Grande do Sul;São Sepé;24448;2250;6.25
32;6.11;RS;Rio Grande do Sul;Pejuçara;4062;2200;6.11
32;6.11;RS;Rio Grande do Sul;Forquetinha;2532;2200;6.11
32;6.11;SP;São Paulo;Alto Alegre;4183;2200;6.11
32;6.11;MS;Mato Grosso do Sul;Terenos;19434;2200;6.11
36;5.56;SP;São Paulo;Ribeirão Bonito;12831;2000;5.56
36;5.56;RS;Rio Grande do Sul;Picada Café;5498;2000;5.56
38;5.42;RS;Rio Grande do Sul;Nova Petrópolis;20275;1950;5.42
39;5.28;SC;Santa Catarina;Campo Erê;9098;1900;5.28
39;5.28;SC;Santa Catarina;Presidente Getúlio;16210;1900;5.28
39;5.28;SC;Santa Catarina;Lauro Muller;14919;1900;5.28
39;5.28;SC;Santa Catarina;Luzerna;5700;1900;5.28
39;5.28;MT;Mato Grosso;Cuiabá;575480;1900;5.28
39;5.28;PB;Paraíba;Assunção;3782;1900;5.28
39;5.28;MG;Minas Gerais;Gonçalves;4381;1900;5.28
46;5;ES;Espírito Santo;Vitória;352104;1800;5
46;5;AM;Amazonas;Manaus;2020301;1800;5
46;5;TO;Tocantins;Palmas;265409;1800;5
49;4.86;SC;Santa Catarina;Ibicaré;3336;1750;4.86
50;4.72;RS;Rio Grande do Sul;Não-Me-Toque;16894;1700;4.72
50;4.72;RJ;Rio de Janeiro;Rio de Janeiro;6453682;1700;4.72
52;4.44;MG;Minas Gerais;Morada Nova de Minas;8712;1600;4.44
52;4.44;SE;Sergipe;Aracaju;623766;1600;4.44
54;4.31;SP;São Paulo;Sabino;5477;1550;4.31
55;4.03;SP;São Paulo;Pontal;45119;1450;4.03
55;4.03;RS;Rio Grande do Sul;Nonoai;12321;1450;4.03
55;4.03;RS;Rio Grande do Sul;Muçum;4980;1450;4.03
55;4.03;MS;Mato Grosso do Sul;Pedro Gomes;7850;1450;4.03
55;4.03;MT;Mato Grosso;Tapurah;11950;1450;4.03
55;4.03;MT;Mato Grosso;Nova Canaã do Norte;12330;1450;4.03
61;3.89;PB;Paraíba;Monte Horebe;4724;1400;3.89
61;3.89;RS;Rio Grande do Sul;Cândido Godói;6631;1400;3.89
61;3.89;SP;São Paulo;Santa Gertrudes;24272;1400;3.89
61;3.89;SC;Santa Catarina;Orleans;22311;1400;3.89
65;3.61;PI;Piauí;Teresina;840600;1300;3.61
66;3.47;MT;Mato Grosso;Campinápolis;14971;1250;3.47
67;3.33;PE;Pernambuco;Santa Filomena;14076;1200;3.33
67;3.33;CE;Ceará;Carnaubal;17374;1200;3.33
67;3.33;SP;São Paulo;Casa Branca;29739;1200;3.33
70;3.06;RS;Rio Grande do Sul;Santo Expedito do Sul;2494;1100;3.06
70;3.06;MG;Minas Gerais;Monte Santo de Minas;21897;1100;3.06
72;2.78;MG;Minas Gerais;Alvarenga;4343;1000;2.78
72;2.78;MT;Mato Grosso;Cotriguaçu;17209;1000;2.78
72;2.78;PB;Paraíba;Manaíra;11037;1000;2.78
72;2.78;PB;Paraíba;Desterro;8225;1000;2.78
72;2.78;PB;Paraíba;Dona Inês;10495;1000;2.78
72;2.78;SC;Santa Catarina;Bocaina do Sul;3408;1000;2.78
72;2.78;SC;Santa Catarina;Bom Retiro;9498;1000;2.78
72;2.78;RS;Rio Grande do Sul;Gentil;1714;1000;2.78
72;2.78;SP;São Paulo;Cerqueira César;18909;1000;2.78
72;2.78;SC;Santa Catarina;Paial;1668;1000;2.78
72;2.78;SC;Santa Catarina;Tunápolis;4644;1000;2.78
72;2.78;SC;Santa Catarina;Campo Belo do Sul;7358;1000;2.78
72;2.78;SC;Santa Catarina;Lindóia do Sul;4659;1000;2.78
72;2.78;SP;São Paulo;Nipoã;4753;1000;2.78
72;2.78;SP;São Paulo;Paranapanema;19164;1000;2.78
72;2.78;SP;São Paulo;Floreal;3027;1000;2.78
88;2.5;SP;São Paulo;Ipiguá;4941;900;2.5
88;2.5;RR;Roraima;Boa Vista;314900;900;2.5
88;2.5;RN;Rio Grande do Norte;Passagem;3057;900;2.5
88;2.5;RS;Rio Grande do Sul;Taquari;27084;900;2.5
88;2.5;SP;São Paulo;Piquete;14199;900;2.5
88;2.5;MS;Mato Grosso do Sul;Inocência;7687;900;2.5
88;2.5;PE;Pernambuco;Passira;29031;900;2.5
88;2.5;ES;Espírito Santo;Boa Esperança;15244;900;2.5
96;2.22;BA;Bahia;Buritirama;21418;800;2.22
96;2.22;PR;Paraná;Morretes;16381;800;2.22
96;2.22;MG;Minas Gerais;Pedralva;11652;800;2.22
96;2.22;SC;Santa Catarina;Botuverá;4864;800;2.22
96;2.22;RS;Rio Grande do Sul;Montauri;1562;800;2.22
101;2.08;RS;Rio Grande do Sul;União da Serra;1434;750;2.08
101;2.08;PB;Paraíba;Barra de Santana;8300;750;2.08
101;2.08;MT;Mato Grosso;São José do Povo;3782;750;2.08
101;2.08;PA;Pará;Belém;1432844;750;2.08
105;1.94;MT;Mato Grosso;São José do Rio Claro;18701;700;1.94
105;1.94;MT;Mato Grosso;Nova Olímpia;18704;700;1.94
105;1.94;PB;Paraíba;Camalaú;5945;700;1.94
105;1.94;PB;Paraíba;Soledade;14569;700;1.94
105;1.94;MG;Minas Gerais;Novo Oriente de Minas;10773;700;1.94
105;1.94;MG;Minas Gerais;São Gonçalo do Rio Abaixo;10488;700;1.94
105;1.94;MG;Minas Gerais;São Tomás de Aquino;7248;700;1.94
105;1.94;MG;Minas Gerais;Serranos;2033;700;1.94
105;1.94;MG;Minas Gerais;Tapira;4484;700;1.94
105;1.94;PR;Paraná;Jardim Alegre;12280;700;1.94
105;1.94;PE;Pernambuco;Paranatama;11449;700;1.94
105;1.94;PR;Paraná;Guapirama;3959;700;1.94
105;1.94;AM;Amazonas;Canutama;14944;700;1.94
105;1.94;BA;Bahia;Anguera;11209;700;1.94
105;1.94;BA;Bahia;Coribe;15000;700;1.94
105;1.94;AM;Amazonas;Fonte Boa;21295;700;1.94
105;1.94;BA;Bahia;Elísio Medrado;8420;700;1.94
105;1.94;BA;Bahia;Ibicaraí;24303;700;1.94
105;1.94;BA;Bahia;Ibirapuã;8671;700;1.94
105;1.94;BA;Bahia;Ibotirama;27405;700;1.94
105;1.94;AM;Amazonas;Rio Preto da Eva;29771;700;1.94
105;1.94;BA;Bahia;Serrolândia;13308;700;1.94
105;1.94;BA;Bahia;Santa Inês;11186;700;1.94
105;1.94;BA;Bahia;Tanque Novo;17601;700;1.94
105;1.94;BA;Bahia;Itagimirim;7384;700;1.94
105;1.94;BA;Bahia;Itarantim;19968;700;1.94
105;1.94;BA;Bahia;Jacaraci;15380;700;1.94
105;1.94;BA;Bahia;Nova Canaã;17048;700;1.94
105;1.94;BA;Bahia;Paripiranga;29769;700;1.94
105;1.94;BA;Bahia;Presidente Dutra;14672;700;1.94
105;1.94;MG;Minas Gerais;Chapada do Norte;15648;700;1.94
105;1.94;GO;Goiás;Aurilândia;3553;700;1.94
105;1.94;MG;Minas Gerais;Arceburgo;10262;700;1.94
105;1.94;RS;Rio Grande do Sul;Travesseiro;2388;700;1.94
105;1.94;SC;Santa Catarina;Armazém;8251;700;1.94
105;1.94;RS;Rio Grande do Sul;Nova Bassano;9412;700;1.94
105;1.94;RS;Rio Grande do Sul;Novo Machado;3866;700;1.94
105;1.94;RS;Rio Grande do Sul;Santa Clara do Sul;6127;700;1.94
105;1.94;RS;Rio Grande do Sul;Liberato Salzano;5789;700;1.94
105;1.94;RS;Rio Grande do Sul;Independência;6682;700;1.94
105;1.94;RS;Rio Grande do Sul;Capão do Cipó;3354;700;1.94
105;1.94;RS;Rio Grande do Sul;Campina das Missões;6112;700;1.94
105;1.94;RS;Rio Grande do Sul;Candelária;31407;700;1.94
105;1.94;PR;Paraná;Pinhalão;6417;700;1.94
105;1.94;RO;Rondônia;Alvorada D'Oeste;17228;700;1.94
105;1.94;RO;Rondônia;Monte Negro;15710;700;1.94
105;1.94;RO;Rondônia;Parecis;5589;700;1.94
105;1.94;SP;São Paulo;Guareí;16513;700;1.94
105;1.94;SP;São Paulo;Santa Salete;1517;700;1.94
105;1.94;SP;São Paulo;Riolândia;11600;700;1.94
105;1.94;SP;São Paulo;Ubarana;5822;700;1.94
105;1.94;SP;São Paulo;Barra do Chapéu;5550;700;1.94
105;1.94;SP;São Paulo;Brotas;23192;700;1.94
105;1.94;SE;Sergipe;São Francisco;3777;700;1.94
105;1.94;SE;Sergipe;Gracho Cardoso;5836;700;1.94
160;1.67;PA;Pará;Rio Maria;17755;600;1.67
161;1.53;SP;São Paulo;Angatuba;23917;550;1.53
162;1.39;SP;São Paulo;Aspásia;1851;500;1.39
162;1.39;SP;São Paulo;Alfredo Marcondes;4083;500;1.39
162;1.39;SP;São Paulo;Bariri;33761;500;1.39
162;1.39;SP;São Paulo;Estrela do Norte;2756;500;1.39
162;1.39;RS;Rio Grande do Sul;Relvado;2200;500;1.39
162;1.39;RS;Rio Grande do Sul;Três Arroios;2885;500;1.39
162;1.39;PB;Paraíba;Riacho de Santo Antônio;1890;500;1.39
162;1.39;MT;Mato Grosso;Santo Antônio do Leste;4435;500;1.39
162;1.39;PB;Paraíba;Nova Palmeira;4717;500;1.39
162;1.39;MG;Minas Gerais;Varjão de Minas;6662;500;1.39
162;1.39;PR;Paraná;Reserva do Iguaçu;7757;500;1.39
162;1.39;PE;Pernambuco;Caetés;27959;500;1.39
162;1.39;GO;Goiás;Anicuns;21338;500;1.39
162;1.39;GO;Goiás;Cezarina;8119;500;1.39
162;1.39;GO;Goiás;Matrinchã;4505;500;1.39
162;1.39;MG;Minas Gerais;Cedro do Abaeté;1222;500;1.39
162;1.39;AM;Amazonas;Tonantins;18322;500;1.39
162;1.39;AL;Alagoas;São Miguel dos Milagres;7795;500;1.39
162;1.39;AL;Alagoas;São Sebastião;34024;500;1.39
162;1.39;BA;Bahia;Dom Macedo Costa;4140;500;1.39
182;1.11;AL;Alagoas;Maceió;1005319;400;1.11
183;0.83;PE;Pernambuco;Tacaimbó;12912;300;0.83
183;0.83;RJ;Rio de Janeiro;São José de Ubá;7175;300;0.83
183;0.83;MG;Minas Gerais;Ubaporanga;12523;300;0.83
183;0.83;SP;São Paulo;Silveiras;6121;300;0.83
187;0.56;RS;Rio Grande do Sul;Dona Francisca;3397;200;0.56
188;0;RS;Rio Grande do Sul;Engenho Velho;1428;0;0
188;0;RS;Rio Grande do Sul;Erval Seco;7834;0;0
188;0;RS;Rio Grande do Sul;Harmonia;4557;0;0
188;0;RS;Rio Grande do Sul;Jaquirana;4167;0;0
188;0;RS;Rio Grande do Sul;Capão do Leão;25321;0;0
188;0;RR;Roraima;Caroebe;8997;0;0
188;0;RS;Rio Grande do Sul;Augusto Pestana;7175;0;0
188;0;RS;Rio Grande do Sul;Bom Progresso;2285;0;0
188;0;RO;Rondônia;Porto Velho;494013;0;0
188;0;RO;Rondônia;São Felipe D'Oeste;6160;0;0
188;0;RR;Roraima;Alto Alegre;16301;0;0
188;0;RO;Rondônia;Corumbiara;8938;0;0
188;0;PR;Paraná;Quarto Centenário;4855;0;0
188;0;PR;Paraná;Rancho Alegre D'Oeste;2850;0;0
188;0;RN;Rio Grande do Norte;Serra Caiada;9666;0;0
188;0;RN;Rio Grande do Norte;Pureza;9208;0;0
188;0;RN;Rio Grande do Norte;Rafael Godeiro;3202;0;0
188;0;RN;Rio Grande do Norte;Riacho de Santana;4279;0;0
188;0;RN;Rio Grande do Norte;São Fernando;3572;0;0
188;0;RN;Rio Grande do Norte;São Miguel;23100;0;0
188;0;RN;Rio Grande do Norte;Senador Elói de Souza;6034;0;0
188;0;SC;Santa Catarina;Alfredo Wagner;9794;0;0
188;0;RS;Rio Grande do Sul;Tavares;5547;0;0
188;0;SC;Santa Catarina;Balneário Barra do Sul;9580;0;0
188;0;SC;Santa Catarina;Celso Ramos;2784;0;0
188;0;RS;Rio Grande do Sul;Rolante;20599;0;0
188;0;RS;Rio Grande do Sul;Santana da Boa Vista;8444;0;0
188;0;RS;Rio Grande do Sul;São Vicente do Sul;8771;0;0
188;0;RS;Rio Grande do Sul;Senador Salgado Filho;2887;0;0
188;0;SP;São Paulo;Tanabi;25335;0;0
188;0;SP;São Paulo;Tarumã;14027;0;0
188;0;SP;São Paulo;Tejupá;4788;0;0
188;0;SP;São Paulo;São Pedro;33966;0;0
188;0;SP;São Paulo;Serrana;42264;0;0
188;0;TO;Tocantins;Axixá do Tocantins;9669;0;0
188;0;TO;Tocantins;Barrolândia;5579;0;0
188;0;TO;Tocantins;Brejinho de Nazaré;5426;0;0
188;0;TO;Tocantins;Buriti do Tocantins;10681;0;0
188;0;TO;Tocantins;Carrasco Bonito;3945;0;0
188;0;TO;Tocantins;Chapada de Areia;1391;0;0
188;0;TO;Tocantins;Divinópolis do Tocantins;6729;0;0
188;0;TO;Tocantins;Lajeado;2991;0;0
188;0;TO;Tocantins;Marianópolis do Tocantins;4814;0;0
188;0;TO;Tocantins;Nazaré;4239;0;0
188;0;SP;São Paulo;São Joaquim da Barra;49690;0;0
188;0;SP;São Paulo;São Manuel;40200;0;0
188;0;SP;São Paulo;São Miguel Arcanjo;32696;0;0
188;0;SP;São Paulo;Pedreira;45052;0;0
188;0;SP;São Paulo;Redenção da Serra;3941;0;0
188;0;SP;São Paulo;Ribeira;3418;0;0
188;0;SP;São Paulo;Indiana;4946;0;0
188;0;SP;São Paulo;Gália;6956;0;0
188;0;SP;São Paulo;Itatinga;19520;0;0
188;0;SP;São Paulo;José Bonifácio;35197;0;0
188;0;SP;São Paulo;Lucélia;21059;0;0
188;0;SP;São Paulo;Macatuba;16961;0;0
188;0;SP;São Paulo;Miguelópolis;21602;0;0
188;0;SP;São Paulo;Mirandópolis;28902;0;0
188;0;SE;Sergipe;Telha;3144;0;0
188;0;SP;São Paulo;Adolfo;3631;0;0
188;0;SP;São Paulo;Avaí;5243;0;0
188;0;SE;Sergipe;Malhador;12550;0;0
188;0;SE;Sergipe;Pinhão;6380;0;0
188;0;SE;Sergipe;Porto da Folha;28366;0;0
188;0;SE;Sergipe;Frei Paulo;14890;0;0
188;0;SC;Santa Catarina;Passo de Torres;7681;0;0
188;0;TO;Tocantins;Palmeirante;5543;0;0
188;0;TO;Tocantins;Presidente Kennedy;3750;0;0
188;0;TO;Tocantins;Sucupira;1878;0;0
188;0;MG;Minas Gerais;Silvianópolis;6266;0;0
188;0;MG;Minas Gerais;São Vicente de Minas;7487;0;0
188;0;MG;Minas Gerais;Senhora dos Remédios;10565;0;0
188;0;MG;Minas Gerais;Serra Azul de Minas;4358;0;0
188;0;MG;Minas Gerais;Serrania;7787;0;0
188;0;MG;Minas Gerais;Virgínia;8865;0;0
188;0;MS;Mato Grosso do Sul;Camapuã;13751;0;0
188;0;MS;Mato Grosso do Sul;Costa Rica;19175;0;0
188;0;MS;Mato Grosso do Sul;Fátima do Sul;19240;0;0
188;0;MS;Mato Grosso do Sul;Miranda;26890;0;0
188;0;MS;Mato Grosso do Sul;Sonora;17019;0;0
188;0;MG;Minas Gerais;São João Batista do Glória;7292;0;0
188;0;MG;Minas Gerais;São João do Oriente;7925;0;0
188;0;MG;Minas Gerais;São José da Lapa;21905;0;0
188;0;MG;Minas Gerais;São Pedro da União;5016;0;0
188;0;MG;Minas Gerais;São Roque de Minas;7005;0;0
188;0;MG;Minas Gerais;São Tiago;10986;0;0
188;0;MG;Minas Gerais;Olaria;1935;0;0
188;0;MG;Minas Gerais;Paiva;1587;0;0
188;0;MG;Minas Gerais;Munhoz;6327;0;0
188;0;MG;Minas Gerais;Pedrinópolis;3638;0;0
188;0;MG;Minas Gerais;Periquito;7126;0;0
188;0;MG;Minas Gerais;Pimenta;8619;0;0
188;0;MG;Minas Gerais;Pratápolis;8952;0;0
188;0;MG;Minas Gerais;Queluzito;1940;0;0
188;0;MG;Minas Gerais;Rio do Prado;5324;0;0
188;0;MG;Minas Gerais;Rio Novo;9032;0;0
188;0;MG;Minas Gerais;Romaria;3664;0;0
188;0;MG;Minas Gerais;Santa Cruz de Minas;8365;0;0
188;0;MG;Minas Gerais;Santa Rita de Jacutinga;5077;0;0
188;0;MG;Minas Gerais;Santo Antônio do Grama;4120;0;0
188;0;PB;Paraíba;Pedra Branca;3791;0;0
188;0;PB;Paraíba;São José do Brejo do Cruz;1767;0;0
188;0;MT;Mato Grosso;Torixoréu;3785;0;0
188;0;PB;Paraíba;Mari;21703;0;0
188;0;PA;Pará;Sapucaia;5492;0;0
188;0;PA;Pará;Terra Alta;10973;0;0
188;0;PA;Pará;Vitória do Xingu;14242;0;0
188;0;PB;Paraíba;Algodão de Jandaíra;2461;0;0
188;0;PA;Pará;Brejo Grande do Araguaia;7258;0;0
188;0;PA;Pará;Cachoeira do Piriá;30430;0;0
188;0;PA;Pará;Concórdia do Pará;30801;0;0
188;0;PA;Pará;Nova Timboteua;14472;0;0
188;0;PA;Pará;Pacajá;43930;0;0
188;0;PA;Pará;Pau D'Arco;5637;0;0
188;0;MT;Mato Grosso;Santo Afonso;3032;0;0
188;0;MT;Mato Grosso;Serra Nova Dourada;1492;0;0
188;0;MT;Mato Grosso;General Carneiro;5267;0;0
188;0;RJ;Rio de Janeiro;Silva Jardim;21336;0;0
188;0;RJ;Rio de Janeiro;Sumidouro;15099;0;0
188;0;RN;Rio Grande do Norte;Espírito Santo;10739;0;0
188;0;RN;Rio Grande do Norte;Jardim de Piranhas;14476;0;0
188;0;RN;Rio Grande do Norte;José da Penha;6049;0;0
188;0;RN;Rio Grande do Norte;Jundiá;3821;0;0
188;0;RN;Rio Grande do Norte;Lagoa de Velhos;2762;0;0
188;0;RN;Rio Grande do Norte;Montanhas;11608;0;0
188;0;PR;Paraná;Santa Cecília do Pavão;3625;0;0
188;0;PR;Paraná;Santa Cruz de Monte Castelo;8194;0;0
188;0;PR;Paraná;Santa Mariana;12496;0;0
188;0;PR;Paraná;São Jorge d'Oeste;9307;0;0
188;0;PR;Paraná;Saudade do Iguaçu;5333;0;0
188;0;PR;Paraná;Siqueira Campos;19881;0;0
188;0;PR;Paraná;Tupãssi;8252;0;0
188;0;RJ;Rio de Janeiro;Armação dos Búzios;30439;0;0
188;0;RJ;Rio de Janeiro;Itatiaia;29996;0;0
188;0;PR;Paraná;Iguaraçu;4241;0;0
188;0;PR;Paraná;Ipiranga;14895;0;0
188;0;PR;Paraná;Ivaiporã;32705;0;0
188;0;PR;Paraná;Japurá;9095;0;0
188;0;PR;Paraná;Grandes Rios;6425;0;0
188;0;PR;Paraná;Guaíra;32394;0;0
188;0;PR;Paraná;Jardim Olinda;1416;0;0
188;0;PR;Paraná;Maria Helena;6007;0;0
188;0;PR;Paraná;Missal;10830;0;0
188;0;PR;Paraná;Moreira Sales;12754;0;0
188;0;PR;Paraná;Nova Esperança;27783;0;0
188;0;PR;Paraná;Paraíso do Norte;12839;0;0
188;0;PR;Paraná;Perobal;5960;0;0
188;0;PE;Pernambuco;Tamandaré;22323;0;0
188;0;PE;Pernambuco;Vertente do Lério;7802;0;0
188;0;PI;Piauí;Água Branca;16944;0;0
188;0;PI;Piauí;Boqueirão do Piauí;6359;0;0
188;0;PI;Piauí;Caracol;10588;0;0
188;0;PI;Piauí;Caridade do Piauí;4974;0;0
188;0;PI;Piauí;Guadalupe;10340;0;0
188;0;PI;Piauí;Guaribas;4472;0;0
188;0;PI;Piauí;Ilha Grande;9176;0;0
188;0;PI;Piauí;João Costa;2968;0;0
188;0;PI;Piauí;Lagoa do Barro do Piauí;4570;0;0
188;0;PI;Piauí;Madeiro;8075;0;0
188;0;PI;Piauí;Miguel Alves;32993;0;0
188;0;PI;Piauí;Nossa Senhora dos Remédios;8457;0;0
188;0;PI;Piauí;Oeiras;36266;0;0
188;0;PI;Piauí;Paquetá;3909;0;0
188;0;PI;Piauí;Paulistana;20133;0;0
188;0;PI;Piauí;Porto Alegre do Piauí;2637;0;0
188;0;PI;Piauí;Santo Antônio de Lisboa;6215;0;0
188;0;PI;Piauí;São José do Piauí;6615;0;0
188;0;PI;Piauí;São Pedro do Piauí;13956;0;0
188;0;PE;Pernambuco;Calçado;11179;0;0
188;0;PE;Pernambuco;Calumbi;5749;0;0
188;0;PE;Pernambuco;Camocim de São Félix;18138;0;0
188;0;PE;Pernambuco;Jurema;15112;0;0
188;0;PE;Pernambuco;Nazaré da Mata;31951;0;0
188;0;PE;Pernambuco;São Vicente Ferrer;17688;0;0
188;0;PI;Piauí;Várzea Branca;4899;0;0
188;0;PI;Piauí;Várzea Grande;4339;0;0
188;0;PI;Piauí;Vera Mendes;3023;0;0
188;0;PR;Paraná;Amaporã;5885;0;0
188;0;PR;Paraná;Anahy;2922;0;0
188;0;PR;Paraná;Ângulo;2959;0;0
188;0;PR;Paraná;Brasilândia do Sul;3086;0;0
188;0;PR;Paraná;Campina da Lagoa;15353;0;0
188;0;PR;Paraná;Capanema;19229;0;0
188;0;PR;Paraná;Cerro Azul;17689;0;0
188;0;PR;Paraná;Clevelândia;17436;0;0
188;0;PR;Paraná;Cruzeiro do Sul;4646;0;0
188;0;AL;Alagoas;Major Isidoro;19963;0;0
188;0;AL;Alagoas;Murici;28201;0;0
188;0;AL;Alagoas;Olho d'Água das Flores;21572;0;0
188;0;AL;Alagoas;Ouro Branco;11484;0;0
188;0;AL;Alagoas;Cajueiro;21261;0;0
188;0;AC;Acre;Acrelândia;13613;0;0
188;0;AC;Acre;Feijó;32398;0;0
188;0;AL;Alagoas;Satuba;13241;0;0
188;0;AL;Alagoas;Senador Rui Palmeira;13839;0;0
188;0;AP;Amapá;Macapá;446757;0;0
188;0;AP;Amapá;Mazagão;19157;0;0
188;0;AP;Amapá;Vitória do Jari;14045;0;0
188;0;BA;Bahia;Curaçá;34974;0;0
188;0;BA;Bahia;Ipecaetá;15634;0;0
188;0;BA;Bahia;Baianópolis;14126;0;0
188;0;AM;Amazonas;Careiro;35938;0;0
188;0;BA;Bahia;Caldeirão Grande;13555;0;0
188;0;BA;Bahia;Capela do Alto Alegre;12123;0;0
188;0;BA;Bahia;Caturama;9762;0;0
188;0;BA;Bahia;Retirolândia;13209;0;0
188;0;BA;Bahia;Rio do Antônio;15530;0;0
188;0;BA;Bahia;Poções;48655;0;0
188;0;BA;Bahia;Medeiros Neto;23420;0;0
188;0;BA;Bahia;Tanquinho;8532;0;0
188;0;BA;Bahia;Várzea do Poço;9364;0;0
188;0;CE;Ceará;Alcântaras;11247;0;0
188;0;CE;Ceará;Assaré;23058;0;0
188;0;BA;Bahia;São Félix do Coribe;15548;0;0
188;0;BA;Bahia;São Miguel das Matas;11963;0;0
188;0;BA;Bahia;Santa Bárbara;20635;0;0
188;0;BA;Bahia;Sobradinho;23511;0;0
188;0;CE;Ceará;Catunda;10257;0;0
188;0;ES;Espírito Santo;Conceição da Barra;30895;0;0
188;0;ES;Espírito Santo;Itapemirim;33952;0;0
188;0;ES;Espírito Santo;Laranja da Terra;11428;0;0
188;0;ES;Espírito Santo;Marilândia;12224;0;0
188;0;CE;Ceará;Guaiúba;25581;0;0
188;0;CE;Ceará;Ibiapina;24555;0;0
188;0;CE;Ceará;Independência;25952;0;0
188;0;CE;Ceará;Jaguaretama;18018;0;0
188;0;CE;Ceará;Marco;26219;0;0
188;0;CE;Ceará;Martinópole;10796;0;0
188;0;CE;Ceará;Paraipaba;31705;0;0
188;0;CE;Ceará;Tamboril;25635;0;0
188;0;CE;Ceará;Tejuçuoca;18301;0;0
188;0;CE;Ceará;Ubajara;33505;0;0
188;0;CE;Ceará;Umari;7662;0;0
188;0;ES;Espírito Santo;Baixo Guandu;31298;0;0
188;0;MG;Minas Gerais;Alvinópolis;15630;0;0
188;0;MG;Minas Gerais;Amparo do Serra;4997;0;0
188;0;MG;Minas Gerais;Bicas;14342;0;0
188;0;MG;Minas Gerais;Bom Despacho;48802;0;0
188;0;MG;Minas Gerais;Bom Jesus da Penha;4121;0;0
188;0;MG;Minas Gerais;Borda da Mata;18481;0;0
188;0;MG;Minas Gerais;Cachoeira Dourada;2645;0;0
188;0;MG;Minas Gerais;Campo Florido;7562;0;0
188;0;MG;Minas Gerais;Guidoval;7341;0;0
188;0;MG;Minas Gerais;Ibitiúra de Minas;3512;0;0
188;0;MG;Minas Gerais;Igaratinga;10144;0;0
188;0;MG;Minas Gerais;Inimutaba;7349;0;0
188;0;MG;Minas Gerais;José Gonçalves de Minas;4650;0;0
188;0;MG;Minas Gerais;Lagoa da Prata;49654;0;0
188;0;MG;Minas Gerais;Mata Verde;8363;0;0
188;0;MG;Minas Gerais;Minas Novas;31864;0;0
188;0;MG;Minas Gerais;Moeda;4903;0;0
188;0;MG;Minas Gerais;Monjolos;2365;0;0
188;0;MG;Minas Gerais;Montalvânia;15875;0;0
188;0;MG;Minas Gerais;Claro dos Poções;7885;0;0
188;0;MG;Minas Gerais;Coluna;9195;0;0
188;0;MG;Minas Gerais;Comendador Gomes;3105;0;0
188;0;MG;Minas Gerais;Comercinho;7962;0;0
188;0;MG;Minas Gerais;Conceição da Barra de Minas;4055;0;0
188;0;MG;Minas Gerais;Coromandel;28428;0;0
188;0;MG;Minas Gerais;Coronel Pacheco;3101;0;0
188;0;MG;Minas Gerais;Couto de Magalhães de Minas;4395;0;0
188;0;MG;Minas Gerais;Descoberto;4989;0;0
188;0;MG;Minas Gerais;Dores de Guanhães;5335;0;0
188;0;MG;Minas Gerais;Estiva;11329;0;0
188;0;MG;Minas Gerais;Francisco Dumont;5130;0;0
188;0;MG;Minas Gerais;Fronteira dos Vales;4765;0;0
188;0;MG;Minas Gerais;Goiabeira;3253;0;0
188;0;MG;Minas Gerais;Goianá;3876;0;0
188;0;GO;Goiás;Ouro Verde de Goiás;4039;0;0
